transaction_date,device_id,start_kwh,end_kwh,kwh,onpeak_kwh,offpeak_kwh,holiday_kwh,ex_onpeak_kwh,ex_offpeak_kwh,ex_holiday_kwh,update_date,start_date,end_date
,,,,,,,,,,,,,
6/29/2025,6,6353494.255,6357370.88,3876.625,0,0,3876.625,0,0,0,00:00.0,00:00.0,00:00.0
6/28/2025,6,6349398.198,6353494.255,4096.057,0,0,4096.057,0,0,0,00:00.0,00:00.0,00:00.0
6/27/2025,6,6344218.581,6349398.198,5179.617,4488.467,691.15,0,0,0,0,00:00.0,00:00.0,00:00.0
6/26/2025,6,6339312.585,6344218.581,4905.997,4245.672,660.325,0,0,0,0,00:00.0,00:00.0,00:00.0
6/25/2025,6,6334815.23,6339312.585,4497.354,3889.843,607.511,0,0,0,0,00:00.0,00:00.0,00:00.0
6/24/2025,6,6330541.414,6334815.23,4273.816,3736.55,537.266,0,0,0,0,00:00.0,00:00.0,00:00.0
6/23/2025,6,6326489.613,6330541.414,4051.8,3501.494,550.306,0,0,0,0,00:00.0,00:00.0,00:00.0
6/22/2025,6,6322307.111,6326489.613,4182.502,0,0,4182.502,0,0,0,00:00.0,00:00.0,00:00.0
6/21/2025,6,6318001.435,6322307.111,4305.676,0,0,4305.676,0,0,0,00:00.0,00:00.0,00:00.0
6/20/2025,6,6314344.594,6318001.435,3656.841,2949.184,707.657,0,0,0,0,00:00.0,00:00.0,00:00.0
6/19/2025,6,6310561.26,6314344.594,3783.334,3111.934,671.4,0,0,0,0,00:00.0,00:00.0,00:00.0
6/18/2025,6,6307810.388,6310561.26,2750.871,2266.631,484.24,0,0,0,0,00:00.0,00:00.0,00:00.0
6/17/2025,6,6304614.063,6307810.388,3196.326,2700.639,495.687,0,0,0,0,00:00.0,00:00.0,00:00.0
6/16/2025,6,6300884.205,6304614.063,3729.857,3146.11,583.747,0,0,0,0,00:00.0,00:00.0,00:00.0
6/15/2025,6,6296334.848,6300884.205,4549.357,0,0,4549.357,0,0,0,00:00.0,00:00.0,00:00.0
6/14/2025,6,6294913.024,6296334.848,1421.824,0,0,1421.824,0,0,0,00:00.0,00:00.0,00:00.0
6/13/2025,6,6292425.216,6294913.024,2487.808,2152.96,334.848,0,0,0,0,00:00.0,00:00.0,00:00.0
6/12/2025,6,6289359.36,6292425.216,3065.856,2558.464,507.392,0,0,0,0,00:00.0,00:00.0,00:00.0
6/11/2025,6,6286471.168,6289359.36,2888.192,2330.624,557.568,0,0,0,0,00:00.0,00:00.0,00:00.0
6/10/2025,6,6282304.512,6286471.168,4166.656,3665.408,501.248,0,0,0,0,00:00.0,00:00.0,00:00.0
6/9/2025,6,6278181.888,6282304.512,4122.624,3433.984,688.64,0,0,0,0,00:00.0,00:00.0,00:00.0
6/8/2025,6,6273787.392,6278181.888,4394.496,0,0,4394.496,0,0,0,00:00.0,00:00.0,00:00.0
6/7/2025,6,6268749.824,6273787.392,5037.568,0,0,5037.568,0,0,0,00:00.0,00:00.0,00:00.0
6/6/2025,6,6264841.728,6268749.824,3908.096,3452.928,455.168,0,0,0,0,00:00.0,00:00.0,00:00.0
6/5/2025,6,6260536.832,6264841.728,4304.896,3613.696,691.2,0,0,0,0,00:00.0,00:00.0,00:00.0
6/4/2025,6,6255452.16,6260536.832,5084.672,4393.472,536.064,0,0,0,0,00:00.0,00:00.0,00:00.0
6/3/2025,6,6252866.048,6255452.16,2586.112,0,0,2586.112,0,0,0,00:00.0,00:00.0,00:00.0
6/2/2025,6,6248484.864,6252866.048,4381.184,3872.768,508.416,0,0,0,0,00:00.0,00:00.0,00:00.0
6/1/2025,6,6244640.768,6248484.864,3844.096,0,0,3844.096,0,0,0,00:00.0,00:00.0,00:00.0
5/31/2025,6,6241462.272,6244640.768,3178.496,0,0,3178.496,0,0,0,00:00.0,00:00.0,00:00.0
5/30/2025,6,6237870.592,6241462.272,3591.68,3201.536,390.144,0,0,0,0,00:00.0,00:00.0,00:00.0
5/29/2025,6,6234345.984,6237870.592,3524.608,3146.24,378.368,0,0,0,0,00:00.0,00:00.0,00:00.0
5/28/2025,6,6229996.032,6234345.984,4349.952,3915.264,434.688,0,0,0,0,00:00.0,00:00.0,00:00.0
5/27/2025,6,6225814.016,6229996.032,4182.016,3617.792,564.224,0,0,0,0,00:00.0,00:00.0,00:00.0
5/26/2025,6,6222990.336,6225814.016,2823.68,2204.672,619.008,0,0,0,0,00:00.0,00:00.0,00:00.0
5/25/2025,6,6219789.312,6222990.336,3201.024,0,0,3201.024,0,0,0,00:00.0,00:00.0,00:00.0
5/24/2025,6,6216954.368,6219789.312,2834.944,0,0,2834.944,0,0,0,00:00.0,00:00.0,00:00.0
5/23/2025,6,6212800.512,6216954.368,4153.856,3685.376,468.48,0,0,0,0,00:00.0,00:00.0,00:00.0
5/22/2025,6,6208310.272,6212800.512,4490.24,3887.104,603.136,0,0,0,0,00:00.0,00:00.0,00:00.0
5/21/2025,6,6206801.92,6208310.272,1508.352,1171.968,336.384,0,0,0,0,00:00.0,00:00.0,00:00.0
5/20/2025,6,6202843.648,6206801.92,3958.272,3319.296,638.976,0,0,0,0,00:00.0,00:00.0,00:00.0
5/19/2025,6,6199197.696,6202843.648,3645.952,3091.456,554.496,0,0,0,0,00:00.0,00:00.0,00:00.0
5/18/2025,6,6194575.872,6199197.696,4621.824,0,0,4621.824,0,0,0,00:00.0,00:00.0,00:00.0
5/17/2025,6,6191297.024,6194575.872,3278.848,0,0,3278.848,0,0,0,00:00.0,00:00.0,00:00.0
5/16/2025,6,6187852.288,6191297.024,3444.736,2917.376,527.36,0,0,0,0,00:00.0,00:00.0,00:00.0
5/15/2025,6,6183840.768,6187852.288,4011.52,3238.912,772.608,0,0,0,0,00:00.0,00:00.0,00:00.0
5/14/2025,6,6180091.392,6183840.768,3749.376,3072,677.376,0,0,0,0,00:00.0,00:00.0,00:00.0
5/13/2025,6,6177160.192,6180091.392,2931.2,2667.008,264.192,0,0,0,0,00:00.0,00:00.0,00:00.0
5/12/2025,6,6172874.24,6177160.192,4285.952,3960.32,325.632,0,0,0,0,00:00.0,00:00.0,00:00.0
5/11/2025,6,6168666.112,6172874.24,4208.128,0,0,4208.128,0,0,0,00:00.0,00:00.0,00:00.0
5/10/2025,6,6166509.056,6168666.112,2157.056,0,0,2157.056,0,0,0,00:00.0,00:00.0,00:00.0
5/9/2025,6,6161903.616,6166509.056,4605.44,3944.448,660.992,0,0,0,0,00:00.0,00:00.0,00:00.0
5/8/2025,6,6157300.736,6161903.616,4602.88,3884.544,718.336,0,0,0,0,00:00.0,00:00.0,00:00.0
5/7/2025,6,6153236.992,6157300.736,4063.744,3536.896,526.848,0,0,0,0,00:00.0,00:00.0,00:00.0
5/6/2025,6,6149341.696,6153236.992,3895.296,3309.056,586.24,0,0,0,0,00:00.0,00:00.0,00:00.0
5/5/2025,6,6145563.648,6149341.696,3778.048,3237.376,540.672,0,0,0,0,00:00.0,00:00.0,00:00.0
5/4/2025,6,6141907.968,6145563.648,3655.68,0,0,3655.68,0,0,0,00:00.0,00:00.0,00:00.0
5/3/2025,6,6139566.592,6141907.968,2341.376,0,0,2341.376,0,0,0,00:00.0,00:00.0,00:00.0
5/2/2025,6,6136232.96,6139566.592,3333.632,2686.976,646.656,0,0,0,0,00:00.0,00:00.0,00:00.0
5/1/2025,6,6131770.88,6136232.96,4462.08,0,0,4462.08,0,0,0,00:00.0,00:00.0,00:00.0
4/30/2025,6,6127139.84,6131770.88,4631.04,3931.136,699.904,0,0,0,0,00:00.0,00:00.0,00:00.0
4/29/2025,6,6122060.8,6127139.84,5079.04,4464.64,614.4,0,0,0,0,00:00.0,00:00.0,00:00.0
4/28/2025,6,6119008.768,6122060.8,3052.032,2523.136,528.896,0,0,0,0,00:00.0,00:00.0,00:00.0
4/27/2025,6,6114636.288,6119008.768,4372.48,0,0,4372.48,0,0,0,00:00.0,00:00.0,00:00.0
4/26/2025,6,6109579.264,6114636.288,5057.024,0,0,5057.024,0,0,0,00:00.0,00:00.0,00:00.0
4/25/2025,6,6104900.096,6109579.264,4679.168,4030.976,648.192,0,0,0,0,00:00.0,00:00.0,00:00.0
4/24/2025,6,6099553.792,6104900.096,5346.304,4641.792,704.512,0,0,0,0,00:00.0,00:00.0,00:00.0
4/23/2025,6,6094680.064,6099553.792,4873.728,4204.544,669.184,0,0,0,0,00:00.0,00:00.0,00:00.0
4/22/2025,6,6089553.92,6094680.064,5126.144,4494.848,631.296,0,0,0,0,00:00.0,00:00.0,00:00.0
4/21/2025,6,6084699.648,6089553.92,4854.272,4217.856,636.416,0,0,0,0,00:00.0,00:00.0,00:00.0
4/20/2025,6,6079290.88,6084699.648,5408.768,0,0,5408.768,0,0,0,00:00.0,00:00.0,00:00.0
4/19/2025,6,6073836.032,6079290.88,5454.848,0,0,5454.848,0,0,0,00:00.0,00:00.0,00:00.0
4/18/2025,6,6068357.12,6073836.032,5478.912,4814.336,664.576,0,0,0,0,00:00.0,00:00.0,00:00.0
4/17/2025,6,6063292.928,6068357.12,5064.192,4593.152,471.04,0,0,0,0,00:00.0,00:00.0,00:00.0
4/16/2025,6,6058822.656,6063292.928,4470.272,3966.464,503.808,0,0,0,0,00:00.0,00:00.0,00:00.0
4/15/2025,6,6055340.544,6058822.656,3482.112,0,0,3482.112,0,0,0,00:00.0,00:00.0,00:00.0
4/14/2025,6,6052815.872,6055340.544,2524.672,0,0,2524.672,0,0,0,00:00.0,00:00.0,00:00.0
4/13/2025,6,6049729.536,6052815.872,3086.336,0,0,3086.336,0,0,0,00:00.0,00:00.0,00:00.0
4/12/2025,6,6045602.304,6049729.536,4127.232,0,0,4127.232,0,0,0,00:00.0,00:00.0,00:00.0
4/11/2025,6,6041391.104,6045602.304,4211.2,3810.304,400.896,0,0,0,0,00:00.0,00:00.0,00:00.0
4/10/2025,6,6036772.864,6041391.104,4618.24,4272.128,346.112,0,0,0,0,00:00.0,00:00.0,00:00.0
4/9/2025,6,6032569.856,6036772.864,4203.008,3716.096,486.912,0,0,0,0,00:00.0,00:00.0,00:00.0
4/8/2025,6,6028635.648,6032569.856,3934.208,3474.944,459.264,0,0,0,0,00:00.0,00:00.0,00:00.0
4/7/2025,6,6024927.232,6028635.648,3708.416,3301.888,406.528,0,0,0,0,00:00.0,00:00.0,00:00.0
4/6/2025,6,6020112.896,6024927.232,4814.336,0,0,4814.336,0,0,0,00:00.0,00:00.0,00:00.0
4/5/2025,6,6015187.968,6020112.896,4924.928,0,0,4924.928,0,0,0,00:00.0,00:00.0,00:00.0
4/4/2025,6,6011303.936,6015187.968,3884.032,3459.072,424.96,0,0,0,0,00:00.0,00:00.0,00:00.0
4/3/2025,6,6007999.488,6011303.936,3304.448,2954.24,350.208,0,0,0,0,00:00.0,00:00.0,00:00.0
4/2/2025,6,6003778.048,6007999.488,4221.44,3745.792,475.648,0,0,0,0,00:00.0,00:00.0,00:00.0
4/1/2025,6,5999521.28,6003778.048,4256.768,3952.128,304.64,0,0,0,0,00:00.0,00:00.0,00:00.0
3/31/2025,6,5996674.048,5999521.28,2847.232,2511.36,335.872,0,0,0,0,00:00.0,00:00.0,00:00.0
3/30/2025,6,5994736.64,5996674.048,1937.408,0,0,1937.408,0,0,0,00:00.0,00:00.0,00:00.0
3/29/2025,6,5990120.96,5994736.64,4615.68,0,0,4615.68,0,0,0,00:00.0,00:00.0,00:00.0
3/28/2025,6,5985331.712,5990120.96,4789.248,4295.168,494.08,0,0,0,0,00:00.0,00:00.0,00:00.0
3/27/2025,6,5980710.4,5985331.712,4621.312,4166.144,455.168,0,0,0,0,00:00.0,00:00.0,00:00.0
3/26/2025,6,5976302.08,5980710.4,4408.32,3997.184,411.136,0,0,0,0,00:00.0,00:00.0,00:00.0
3/25/2025,6,5972010.496,5976302.08,4291.584,3891.2,400.384,0,0,0,0,00:00.0,00:00.0,00:00.0
3/24/2025,6,5967764.48,5972010.496,4246.016,3837.952,408.064,0,0,0,0,00:00.0,00:00.0,00:00.0
3/23/2025,6,5963264,5967764.48,4500.48,0,0,4500.48,0,0,0,00:00.0,00:00.0,00:00.0
3/22/2025,6,5958577.664,5963264,4686.336,0,0,4686.336,0,0,0,00:00.0,00:00.0,00:00.0
3/21/2025,6,5955002.88,5958577.664,3574.784,3224.576,350.208,0,0,0,0,00:00.0,00:00.0,00:00.0
3/20/2025,6,5950637.568,5955002.88,4365.312,3906.56,458.752,0,0,0,0,00:00.0,00:00.0,00:00.0
3/19/2025,6,5945924.608,5950637.568,4712.96,4294.656,418.304,0,0,0,0,00:00.0,00:00.0,00:00.0
3/18/2025,6,5941402.112,5945924.608,4522.496,4074.496,448,0,0,0,0,00:00.0,00:00.0,00:00.0
3/17/2025,6,5937590.272,5941402.112,3811.84,3373.568,438.272,0,0,0,0,00:00.0,00:00.0,00:00.0
3/16/2025,6,5934231.552,5937590.272,3358.72,0,0,3358.72,0,0,0,00:00.0,00:00.0,00:00.0
3/15/2025,6,5929552.384,5934231.552,4679.168,0,0,4679.168,0,0,0,00:00.0,00:00.0,00:00.0
3/14/2025,6,5924821.504,5929552.384,4730.88,4244.48,486.4,0,0,0,0,00:00.0,00:00.0,00:00.0
3/13/2025,6,5921366.528,5924821.504,3454.976,3048.96,406.016,0,0,0,0,00:00.0,00:00.0,00:00.0
3/12/2025,6,5916757.504,5921366.528,4609.024,4209.664,399.36,0,0,0,0,00:00.0,00:00.0,00:00.0
3/11/2025,6,5913077.248,5916757.504,3680.256,3264,416.256,0,0,0,0,00:00.0,00:00.0,00:00.0
3/10/2025,6,5908754.432,5913077.248,4322.816,3895.808,427.008,0,0,0,0,00:00.0,00:00.0,00:00.0
3/9/2025,6,5904769.024,5908754.432,3985.408,0,0,3985.408,0,0,0,00:00.0,00:00.0,00:00.0
3/8/2025,6,5902505.984,5904769.024,2263.04,0,0,2263.04,0,0,0,00:00.0,00:00.0,00:00.0
3/7/2025,6,5900865.024,5902505.984,1640.96,1421.312,219.648,0,0,0,0,00:00.0,00:00.0,00:00.0
3/6/2025,6,5896251.904,5900865.024,4613.12,4218.88,394.24,0,0,0,0,00:00.0,00:00.0,00:00.0
3/5/2025,6,5891595.776,5896251.904,4656.128,4232.704,423.424,0,0,0,0,00:00.0,00:00.0,00:00.0
3/4/2025,6,5886980.608,5891595.776,4615.168,4203.008,412.16,0,0,0,0,00:00.0,00:00.0,00:00.0
3/3/2025,6,5882497.536,5886980.608,4483.072,4105.216,377.856,0,0,0,0,00:00.0,00:00.0,00:00.0
3/2/2025,6,5878006.272,5882497.536,4491.264,0,0,4491.264,0,0,0,00:00.0,00:00.0,00:00.0
3/1/2025,6,5873630.208,5878006.272,4376.064,0,0,4376.064,0,0,0,00:00.0,00:00.0,00:00.0
2/28/2025,6,5869568,5873630.208,4062.208,3684.352,377.856,0,0,0,0,00:00.0,00:00.0,00:00.0
2/27/2025,6,5865357.824,5869568,4210.176,3820.544,389.632,0,0,0,0,00:00.0,00:00.0,00:00.0
2/26/2025,6,5861277.184,5865357.824,4080.64,3720.704,359.936,0,0,0,0,00:00.0,00:00.0,00:00.0
2/25/2025,6,5858567.68,5861277.184,2709.504,2526.72,182.784,0,0,0,0,00:00.0,00:00.0,00:00.0
2/24/2025,6,5856972.8,5858567.68,1594.88,1489.408,105.472,0,0,0,0,00:00.0,00:00.0,00:00.0
2/23/2025,6,5853418.496,5856972.8,3554.304,0,0,3554.304,0,0,0,00:00.0,00:00.0,00:00.0
2/22/2025,6,5849930.752,5853418.496,3487.744,0,0,3487.744,0,0,0,00:00.0,00:00.0,00:00.0
2/21/2025,6,5846313.984,5849930.752,3616.768,3290.112,326.656,0,0,0,0,00:00.0,00:00.0,00:00.0
2/20/2025,6,5843067.904,5846313.984,3246.08,2975.744,270.336,0,0,0,0,00:00.0,00:00.0,00:00.0
2/19/2025,6,5839731.712,5843067.904,3336.192,3049.984,286.208,0,0,0,0,00:00.0,00:00.0,00:00.0
2/18/2025,6,5837227.52,5839731.712,2504.192,2363.904,140.288,0,0,0,0,00:00.0,00:00.0,00:00.0
2/17/2025,6,5833486.848,5837227.52,3740.672,3436.032,304.64,0,0,0,0,00:00.0,00:00.0,00:00.0
2/16/2025,6,5829264.384,5833486.848,4222.464,0,0,4222.464,0,0,0,00:00.0,00:00.0,00:00.0
2/15/2025,6,5825070.08,5829264.384,4194.304,0,0,4194.304,0,0,0,00:00.0,00:00.0,00:00.0
2/14/2025,6,5821002.752,5825070.08,4067.328,3759.616,307.712,0,0,0,0,00:00.0,00:00.0,00:00.0
2/13/2025,6,5816951.808,5821002.752,4050.944,3724.8,326.144,0,0,0,0,00:00.0,00:00.0,00:00.0
2/12/2025,6,5813144.064,5816951.808,3807.744,0,0,3807.744,0,0,0,00:00.0,00:00.0,00:00.0
2/11/2025,6,5809129.472,5813144.064,4014.592,3724.8,289.792,0,0,0,0,00:00.0,00:00.0,00:00.0
2/10/2025,6,5805012.992,5809129.472,4116.48,3801.6,314.88,0,0,0,0,00:00.0,00:00.0,00:00.0
2/9/2025,6,5801576.448,5805012.992,3436.544,0,0,3436.544,0,0,0,00:00.0,00:00.0,00:00.0
2/8/2025,6,5797643.264,5801576.448,3933.184,0,0,3933.184,0,0,0,00:00.0,00:00.0,00:00.0
2/7/2025,6,5794999.808,5797643.264,2643.456,2397.696,245.76,0,0,0,0,00:00.0,00:00.0,00:00.0
2/6/2025,6,5791647.232,5794999.808,3352.576,3104.256,248.32,0,0,0,0,00:00.0,00:00.0,00:00.0
2/5/2025,6,5787962.368,5791647.232,3684.864,3410.944,273.92,0,0,0,0,00:00.0,00:00.0,00:00.0
2/4/2025,6,5784498.176,5787962.368,3464.192,3256.32,207.872,0,0,0,0,00:00.0,00:00.0,00:00.0
2/3/2025,6,5780877.312,5784498.176,3620.864,3412.992,207.872,0,0,0,0,00:00.0,00:00.0,00:00.0
2/2/2025,6,5777413.632,5780877.312,3463.68,0,0,3463.68,0,0,0,00:00.0,00:00.0,00:00.0
2/1/2025,6,5773687.808,5777413.632,3725.824,0,0,3725.824,0,0,0,00:00.0,00:00.0,00:00.0
1/31/2025,6,5769825.28,5773687.808,3862.528,3577.344,285.184,0,0,0,0,00:00.0,00:00.0,00:00.0
1/30/2025,6,5765952,5769825.28,3873.28,3587.584,285.696,0,0,0,0,00:00.0,00:00.0,00:00.0
1/29/2025,6,5762301.44,5765952,3650.56,3373.568,276.992,0,0,0,0,00:00.0,00:00.0,00:00.0
1/28/2025,6,5758495.744,5762301.44,3805.696,3575.808,229.888,0,0,0,0,00:00.0,00:00.0,00:00.0
1/27/2025,6,5754714.112,5758495.744,3781.632,3511.296,270.336,0,0,0,0,00:00.0,00:00.0,00:00.0
1/26/2025,6,5751801.856,5754714.112,2912.256,0,0,2912.256,0,0,0,00:00.0,00:00.0,00:00.0
1/25/2025,6,5748026.88,5751801.856,3774.976,0,0,3774.976,0,0,0,00:00.0,00:00.0,00:00.0
1/24/2025,6,5744291.84,5748026.88,3735.04,3441.664,293.376,0,0,0,0,00:00.0,00:00.0,00:00.0
1/23/2025,6,5740890.112,5744291.84,3401.728,3209.216,192.512,0,0,0,0,00:00.0,00:00.0,00:00.0
1/22/2025,6,5737023.488,5740890.112,3866.624,3557.376,309.248,0,0,0,0,00:00.0,00:00.0,00:00.0
1/21/2025,6,5733019.136,5737023.488,4004.352,3692.544,311.808,0,0,0,0,00:00.0,00:00.0,00:00.0
1/20/2025,6,5728976.384,5733019.136,4042.752,3660.8,381.952,0,0,0,0,00:00.0,00:00.0,00:00.0
1/19/2025,6,5724897.792,5728976.384,4078.592,0,0,4078.592,0,0,0,00:00.0,00:00.0,00:00.0
1/18/2025,6,5720759.296,5724897.792,4138.496,0,0,4138.496,0,0,0,00:00.0,00:00.0,00:00.0
1/17/2025,6,5716866.048,5720759.296,3893.248,3574.784,318.464,0,0,0,0,00:00.0,00:00.0,00:00.0
1/16/2025,6,5713046.528,5716866.048,3819.52,3561.472,258.048,0,0,0,0,00:00.0,00:00.0,00:00.0
1/15/2025,6,5709448.704,5713046.528,3597.824,3273.216,324.608,0,0,0,0,00:00.0,00:00.0,00:00.0
1/14/2025,6,5706115.584,5709448.704,3333.12,2845.184,487.936,0,0,0,0,00:00.0,00:00.0,00:00.0
1/13/2025,6,5701959.168,5706115.584,4156.416,3816.448,339.968,0,0,0,0,00:00.0,00:00.0,00:00.0
1/12/2025,6,5698269.184,5701959.168,3689.984,0,0,3689.984,0,0,0,00:00.0,00:00.0,00:00.0
1/11/2025,6,5694154.24,5698269.184,4114.944,0,0,4114.944,0,0,0,00:00.0,00:00.0,00:00.0
1/10/2025,6,5690049.024,5694154.24,4105.216,3757.056,348.16,0,0,0,0,00:00.0,00:00.0,00:00.0
1/9/2025,6,5686318.592,5690049.024,3730.432,3441.664,288.768,0,0,0,0,00:00.0,00:00.0,00:00.0
1/8/2025,6,5682603.52,5686318.592,3715.072,3419.648,295.424,0,0,0,0,00:00.0,00:00.0,00:00.0
1/7/2025,6,5678778.368,5682603.52,3825.152,3505.664,319.488,0,0,0,0,00:00.0,00:00.0,00:00.0
1/6/2025,6,5674790.912,5678778.368,3987.456,3646.464,340.992,0,0,0,0,00:00.0,00:00.0,00:00.0
1/5/2025,6,5670843.392,5674790.912,3947.52,0,0,3947.52,0,0,0,00:00.0,00:00.0,00:00.0
1/4/2025,6,5666911.232,5670843.392,3932.16,0,0,3932.16,0,0,0,00:00.0,00:00.0,00:00.0
1/3/2025,6,5662937.088,5666911.232,3974.144,3628.032,346.112,0,0,0,0,00:00.0,00:00.0,00:00.0
1/2/2025,6,5659021.824,5662937.088,3915.264,3567.616,347.648,0,0,0,0,00:00.0,00:00.0,00:00.0
1/1/2025,6,5655033.344,5659021.824,3988.48,3637.76,350.72,0,0,0,0,00:00.0,00:00.0,00:00.0
12/31/2024,6,5651031.552,5655033.344,4001.792,0,0,4001.792,0,0,0,00:00.0,00:00.0,00:00.0
12/30/2024,6,5647057.92,5651031.552,3973.632,0,0,3973.632,0,0,0,00:00.0,00:00.0,00:00.0
12/29/2024,6,5643534.848,5647057.92,3523.072,0,0,3523.072,0,0,0,00:00.0,00:00.0,00:00.0
12/28/2024,6,5640606.72,5643534.848,2928.128,0,0,2928.128,0,0,0,00:00.0,00:00.0,00:00.0
12/27/2024,6,5636983.808,5640606.72,3622.912,3356.16,266.752,0,0,0,0,00:00.0,00:00.0,00:00.0
12/26/2024,6,5633367.552,5636983.808,3616.256,3289.6,326.656,0,0,0,0,00:00.0,00:00.0,00:00.0
12/25/2024,6,5629516.288,5633367.552,3851.264,3476.992,374.272,0,0,0,0,00:00.0,00:00.0,00:00.0
12/24/2024,6,5625481.216,5629516.288,4035.072,3651.072,384,0,0,0,0,00:00.0,00:00.0,00:00.0
12/23/2024,6,5621695.488,5625481.216,3785.728,3473.92,311.808,0,0,0,0,00:00.0,00:00.0,00:00.0
12/22/2024,6,5618088.96,5621695.488,3606.528,0,0,3606.528,0,0,0,00:00.0,00:00.0,00:00.0
12/21/2024,6,5614093.312,5618088.96,3995.648,0,0,3995.648,0,0,0,00:00.0,00:00.0,00:00.0
12/20/2024,6,5610116.096,5614093.312,3977.216,3589.12,388.096,0,0,0,0,00:00.0,00:00.0,00:00.0
12/19/2024,6,5606150.144,5610116.096,3965.952,3581.952,384,0,0,0,0,00:00.0,00:00.0,00:00.0
12/18/2024,6,5602186.752,5606150.144,3963.392,3604.48,358.912,0,0,0,0,00:00.0,00:00.0,00:00.0
12/17/2024,6,5598335.488,5602186.752,3851.264,3529.728,321.536,0,0,0,0,00:00.0,00:00.0,00:00.0
12/16/2024,6,5594832.384,5598335.488,3503.104,3181.568,321.536,0,0,0,0,00:00.0,00:00.0,00:00.0
12/15/2024,6,5591408.128,5594832.384,3424.256,0,0,3424.256,0,0,0,00:00.0,00:00.0,00:00.0
12/14/2024,6,5591347.2,5591408.128,60.928,0,0,60.928,0,0,0,00:00.0,00:00.0,00:00.0
12/13/2024,6,5590057.984,5591347.2,1289.216,1225.216,64,0,0,0,0,00:00.0,00:00.0,00:00.0
12/12/2024,6,5587204.096,5590057.984,2853.888,2618.88,235.008,0,0,0,0,00:00.0,00:00.0,00:00.0
12/11/2024,6,5583419.392,5587204.096,3784.704,3462.144,322.56,0,0,0,0,00:00.0,00:00.0,00:00.0
12/10/2024,6,5579453.44,5583419.392,3965.952,0,0,3965.952,0,0,0,00:00.0,00:00.0,00:00.0
12/9/2024,6,5575950.336,5579453.44,3503.104,3181.568,321.536,0,0,0,0,00:00.0,00:00.0,00:00.0
12/8/2024,6,5572526.08,5575950.336,3424.256,0,0,3424.256,0,0,0,00:00.0,00:00.0,00:00.0
12/7/2024,6,5569171.968,5572526.08,3354.112,0,0,3354.112,0,0,0,00:00.0,00:00.0,00:00.0
12/6/2024,6,5565209.088,5569171.968,3962.88,3535.872,427.008,0,0,0,0,00:00.0,00:00.0,00:00.0
12/5/2024,6,5561678.848,5565209.088,3530.24,0,0,3530.24,0,0,0,00:00.0,00:00.0,00:00.0
12/4/2024,6,5557739.008,5561678.848,3939.84,3530.752,409.088,0,0,0,0,00:00.0,00:00.0,00:00.0
12/3/2024,6,5553845.248,5557739.008,3893.76,3458.56,435.2,0,0,0,0,00:00.0,00:00.0,00:00.0
12/2/2024,6,5549988.352,5553845.248,3856.896,3451.904,404.992,0,0,0,0,00:00.0,00:00.0,00:00.0
12/1/2024,6,5546402.816,5549988.352,3585.536,0,0,3585.536,0,0,0,00:00.0,00:00.0,00:00.0
11/30/2024,6,5542338.56,5546402.816,4064.256,0,0,4064.256,0,0,0,00:00.0,00:00.0,00:00.0
11/29/2024,6,5538452.48,5542338.56,3886.08,3467.264,418.816,0,0,0,0,00:00.0,00:00.0,00:00.0
11/28/2024,6,5534730.24,5538452.48,3722.24,3251.712,470.528,0,0,0,0,00:00.0,00:00.0,00:00.0
11/27/2024,6,5531210.752,5534730.24,3519.488,3082.24,437.248,0,0,0,0,00:00.0,00:00.0,00:00.0
11/26/2024,6,5528953.344,5531210.752,2257.408,2115.584,141.824,0,0,0,0,00:00.0,00:00.0,00:00.0
11/25/2024,6,5525549.568,5528953.344,3403.776,3047.936,355.84,0,0,0,0,00:00.0,00:00.0,00:00.0
11/24/2024,6,5521973.248,5525549.568,3576.32,0,0,3576.32,0,0,0,00:00.0,00:00.0,00:00.0
11/23/2024,6,5518055.424,5521973.248,3917.824,0,0,3917.824,0,0,0,00:00.0,00:00.0,00:00.0
11/22/2024,6,5514052.096,5518055.424,4003.328,3510.784,492.544,0,0,0,0,00:00.0,00:00.0,00:00.0
11/21/2024,6,5510326.272,5514052.096,3725.824,3234.304,491.52,0,0,0,0,00:00.0,00:00.0,00:00.0
11/20/2024,6,5506415.616,5510326.272,3910.656,3415.552,495.104,0,0,0,0,00:00.0,00:00.0,00:00.0
11/19/2024,6,5503249.92,5506415.616,3165.696,2685.952,479.744,0,0,0,0,00:00.0,00:00.0,00:00.0
11/18/2024,6,5499261.952,5503249.92,3987.968,3488.256,499.712,0,0,0,0,00:00.0,00:00.0,00:00.0
11/17/2024,6,5497303.552,5499261.952,1958.4,0,0,1958.4,0,0,0,00:00.0,00:00.0,00:00.0
11/16/2024,6,5493291.008,5497303.552,4012.544,0,0,4012.544,0,0,0,00:00.0,00:00.0,00:00.0
11/15/2024,6,5490638.336,5493291.008,2652.672,2415.104,237.568,0,0,0,0,00:00.0,00:00.0,00:00.0
11/14/2024,6,5487496.704,5490638.336,3141.632,2647.04,494.592,0,0,0,0,00:00.0,00:00.0,00:00.0
